CNP: 5020701012216, Găsit: True, Iterații: 1
CNP: 5060403015411, Găsit: True, Iterații: 1
CNP: 2890903016341, Găsit: True, Iterații: 1
CNP: 6060806017903, Găsit: True, Iterații: 1
CNP: 6060213017546, Găsit: True, Iterații: 1
CNP: 2641024016567, Găsit: True, Iterații: 1
CNP: 6010104017629, Găsit: True, Iterații: 1
CNP: 6071021011213, Găsit: True, Iterații: 1
CNP: 6000205013494, Găsit: True, Iterații: 1
CNP: 6031003016572, Găsit: True, Iterații: 1
CNP: 6000612016934, Găsit: True, Iterații: 1
CNP: 5070404017889, Găsit: True, Iterații: 1
CNP: 5130513011511, Găsit: True, Iterații: 1
CNP: 6001228013208, Găsit: True, Iterații: 1
CNP: 1970519018496, Găsit: True, Iterații: 1
CNP: 1760819010758, Găsit: True, Iterații: 1
CNP: 1460128013145, Găsit: True, Iterații: 1
CNP: 2800219017231, Găsit: True, Iterații: 1
CNP: 6070826019711, Găsit: True, Iterații: 1
CNP: 1711225015831, Găsit: True, Iterații: 1
CNP: 6041210012922, Găsit: True, Iterații: 1
CNP: 5090112019441, Găsit: True, Iterații: 1
CNP: 1890704011803, Găsit: True, Iterații: 1
CNP: 2810418016361, Găsit: True, Iterații: 1
CNP: 1550303018065, Găsit: True, Iterații: 1
CNP: 1470223018257, Găsit: True, Iterații: 1
CNP: 1400220014115, Găsit: True, Iterații: 1
CNP: 5070430013182, Găsit: True, Iterații: 1
CNP: 1471225018608, Găsit: True, Iterații: 1
CNP: 2970502010536, Găsit: True, Iterații: 1
CNP: 5001118010818, Găsit: True, Iterații: 1
CNP: 6070919015681, Găsit: True, Iterații: 1
CNP: 1561213014376, Găsit: True, Iterații: 1
CNP: 5070505019071, Găsit: True, Iterații: 1
CNP: 5001019016930, Găsit: True, Iterații: 1
CNP: 5050201019709, Găsit: True, Iterații: 1
CNP: 1780805012970, Găsit: True, Iterații: 1
CNP: 6080707012205, Găsit: True, Iterații: 1
CNP: 5070124018004, Găsit: True, Iterații: 1
CNP: 1591030018592, Găsit: True, Iterații: 1
CNP: 6011010016591, Găsit: True, Iterații: 1
CNP: 5001105019458, Găsit: True, Iterații: 1
CNP: 5040706019446, Găsit: True, Iterații: 1
CNP: 2980930011355, Găsit: True, Iterații: 1
CNP: 2580220010269, Găsit: True, Iterații: 1
CNP: 1670105011485, Găsit: True, Iterații: 1
CNP: 5060517015155, Găsit: True, Iterații: 1
CNP: 2560202010072, Găsit: True, Iterații: 1
CNP: 6001107013956, Găsit: True, Iterații: 1
CNP: 2370507013811, Găsit: True, Iterații: 1
CNP: 1620420019268, Găsit: True, Iterații: 1
CNP: 2381117012594, Găsit: True, Iterații: 1
CNP: 1641220014551, Găsit: True, Iterații: 1
CNP: 6001019014971, Găsit: True, Iterații: 1
CNP: 6100224017103, Găsit: True, Iterații: 1
CNP: 1500527016326, Găsit: True, Iterații: 1
CNP: 5090813015707, Găsit: True, Iterații: 1
CNP: 1890314016264, Găsit: True, Iterații: 1
CNP: 6031013012791, Găsit: True, Iterații: 1
CNP: 1860707015599, Găsit: True, Iterații: 1
CNP: 1830517018483, Găsit: True, Iterații: 1
CNP: 1601115011003, Găsit: True, Iterații: 1
CNP: 1981124012821, Găsit: True, Iterații: 1
CNP: 1960217013433, Găsit: True, Iterații: 1
CNP: 5081127014071, Găsit: True, Iterații: 1
CNP: 5230619014572, Găsit: True, Iterații: 1
CNP: 6080125012241, Găsit: True, Iterații: 1
CNP: 2600502010230, Găsit: True, Iterații: 1
CNP: 6080204013315, Găsit: True, Iterații: 1
CNP: 5040125010892, Găsit: True, Iterații: 1
CNP: 2831129013088, Găsit: True, Iterații: 1
CNP: 6060826015038, Găsit: True, Iterații: 1
CNP: 6090307011733, Găsit: True, Iterații: 1
CNP: 6031106013421, Găsit: True, Iterații: 1
CNP: 1980305013311, Găsit: True, Iterații: 1
CNP: 6000203014415, Găsit: True, Iterații: 1
CNP: 1380101017628, Găsit: True, Iterații: 1
CNP: 5060603010508, Găsit: True, Iterații: 1
CNP: 2981217011260, Găsit: True, Iterații: 1
CNP: 1790821016642, Găsit: True, Iterații: 1
CNP: 2651220016571, Găsit: True, Iterații: 1
CNP: 2680219013470, Găsit: True, Iterații: 1
CNP: 2580418015501, Găsit: True, Iterații: 1
CNP: 5180101010224, Găsit: True, Iterații: 1
CNP: 2680322012313, Găsit: True, Iterații: 1
CNP: 5090201017214, Găsit: True, Iterații: 1
CNP: 6060711015799, Găsit: True, Iterații: 1
CNP: 6200731015398, Găsit: True, Iterații: 1
CNP: 1751015018931, Găsit: True, Iterații: 1
CNP: 6010124018533, Găsit: True, Iterații: 1
CNP: 1550827017741, Găsit: True, Iterații: 1
CNP: 2650729014594, Găsit: True, Iterații: 1
CNP: 6090516018330, Găsit: True, Iterații: 1
CNP: 6060315015471, Găsit: True, Iterații: 1
CNP: 6010506018735, Găsit: True, Iterații: 1
CNP: 2991023019244, Găsit: True, Iterații: 1
CNP: 6020129015134, Găsit: True, Iterații: 1
CNP: 2850516014377, Găsit: True, Iterații: 1
CNP: 1881228014610, Găsit: True, Iterații: 1
CNP: 5091017016146, Găsit: True, Iterații: 1
CNP: 1931006013426, Găsit: True, Iterații: 1
CNP: 1751104015114, Găsit: True, Iterații: 1
CNP: 5000510017417, Găsit: True, Iterații: 1
CNP: 2530927011598, Găsit: True, Iterații: 1
CNP: 6090722016971, Găsit: True, Iterații: 1
CNP: 1970419018070, Găsit: True, Iterații: 1
CNP: 1771014012299, Găsit: True, Iterații: 1
CNP: 5070715019283, Găsit: True, Iterații: 1
CNP: 1790818016726, Găsit: True, Iterații: 1
CNP: 1881009015780, Găsit: True, Iterații: 1
CNP: 1810205019823, Găsit: True, Iterații: 1
CNP: 2801024018288, Găsit: True, Iterații: 1
CNP: 5060110017892, Găsit: True, Iterații: 1
CNP: 1550612010021, Găsit: True, Iterații: 1
CNP: 6051016017891, Găsit: True, Iterații: 1
CNP: 5091206015856, Găsit: True, Iterații: 1
CNP: 2410627018335, Găsit: True, Iterații: 1
CNP: 5230603011954, Găsit: True, Iterații: 1
CNP: 2430125019348, Găsit: True, Iterații: 1
CNP: 2950125011069, Găsit: True, Iterații: 1
CNP: 1990820017708, Găsit: True, Iterații: 1
CNP: 6010429016120, Găsit: True, Iterații: 1
CNP: 6030707016930, Găsit: True, Iterații: 1
CNP: 5001230018671, Găsit: True, Iterații: 1
CNP: 2610221018961, Găsit: True, Iterații: 1
CNP: 1710824011881, Găsit: True, Iterații: 1
CNP: 1851001014387, Găsit: True, Iterații: 1
CNP: 6020406014249, Găsit: True, Iterații: 1
CNP: 1750916017918, Găsit: True, Iterații: 1
CNP: 5060301016799, Găsit: True, Iterații: 1
CNP: 1910123012386, Găsit: True, Iterații: 1
CNP: 6030125016918, Găsit: True, Iterații: 1
CNP: 1311109016373, Găsit: True, Iterații: 1
CNP: 5050709017811, Găsit: True, Iterații: 1
CNP: 2771212013892, Găsit: True, Iterații: 1
CNP: 5071120014226, Găsit: True, Iterații: 1
CNP: 5040112012286, Găsit: True, Iterații: 1
CNP: 5061022014254, Găsit: True, Iterații: 1
CNP: 1870824018222, Găsit: True, Iterații: 1
CNP: 2700911019070, Găsit: True, Iterații: 1
CNP: 1731114010093, Găsit: True, Iterații: 1
CNP: 5090605015400, Găsit: True, Iterații: 1
CNP: 6041112015305, Găsit: True, Iterații: 1
CNP: 1300531010997, Găsit: True, Iterații: 1
CNP: 1970505016998, Găsit: True, Iterații: 1
CNP: 6040712017457, Găsit: True, Iterații: 1
CNP: 1530612018468, Găsit: True, Iterații: 1
CNP: 1880809016465, Găsit: True, Iterații: 1
CNP: 5200530013001, Găsit: True, Iterații: 1
CNP: 6060814010193, Găsit: True, Iterații: 1
CNP: 2720101017175, Găsit: True, Iterații: 1
CNP: 5040630017158, Găsit: True, Iterații: 1
CNP: 2991019010759, Găsit: True, Iterații: 1
